datetime,open,high,low,close,volume
2025-04-21 00:00:00,38.2,38.2,38.2,38.2,5
2025-04-22 00:00:00,35.6,38.0,34.0,34.6,18
2025-04-23 00:00:00,37.0,39.0,36.0,36.0,34
2025-04-24 00:00:00,37.4,37.4,30.4,34.4,17
2025-04-25 00:00:00,35.8,35.8,34.0,35.8,13
2025-04-28 00:00:00,33.8,34.6,32.2,33.6,10
2025-04-29 00:00:00,32.0,34.2,32.0,33.4,3
2025-04-30 00:00:00,35.4,35.4,32.8,33.0,13
2025-05-06 00:00:00,31.4,32.2,26.4,30.8,55
2025-05-07 00:00:00,46.0,46.2,29.4,30.8,150
2025-05-08 00:00:00,30.4,38.8,30.4,33.6,189
2025-05-09 00:00:00,34.2,34.2,31.2,33.0,57
2025-05-12 00:00:00,38.0,43.0,34.2,43.0,319
2025-05-13 00:00:00,42.0,42.2,35.8,37.6,66
2025-05-14 00:00:00,41.0,66.8,35.6,57.8,359
2025-05-15 00:00:00,50.8,55.8,44.6,45.0,70
2025-05-16 00:00:00,43.0,43.8,34.2,35.6,113
2025-05-19 00:00:00,33.0,33.6,26.0,28.4,252
2025-05-20 00:00:00,31.0,38.8,30.2,35.0,361
2025-05-21 00:00:00,35.0,41.0,35.0,37.6,109
2025-05-22 00:00:00,35.0,39.0,33.0,37.0,117
2025-05-23 00:00:00,36.6,41.2,28.4,28.8,358
2025-05-26 00:00:00,27.6,28.8,21.4,22.8,288
2025-05-27 00:00:00,23.6,23.6,18.8,19.8,404
2025-05-28 00:00:00,21.0,21.0,18.2,19.6,264
2025-05-29 00:00:00,19.2,25.2,19.0,21.8,650
2025-05-30 00:00:00,20.6,20.6,16.4,17.8,612
2025-06-03 00:00:00,17.8,17.8,14.2,16.2,370
2025-06-04 00:00:00,16.8,19.2,16.6,17.8,335
2025-06-05 00:00:00,19.0,20.6,16.8,19.4,468
2025-06-06 00:00:00,20.0,22.6,18.8,19.2,509
2025-06-09 00:00:00,20.6,24.4,18.6,19.8,774
2025-06-10 00:00:00,21.6,22.6,13.6,16.0,881
2025-06-11 00:00:00,18.0,26.4,17.8,21.6,1108
2025-06-12 00:00:00,18.8,23.6,18.0,20.4,765
2025-06-13 00:00:00,18.6,20.4,15.0,16.0,1377
2025-06-16 00:00:00,16.0,17.2,14.0,15.0,649
2025-06-17 00:00:00,16.0,16.2,12.6,14.0,1082
2025-06-18 00:00:00,14.6,16.0,12.0,15.0,1293
2025-06-19 00:00:00,13.6,13.8,8.8,9.4,1552
2025-06-20 00:00:00,9.4,9.6,6.8,7.4,1595
2025-06-23 00:00:00,7.2,8.6,5.0,8.2,1997
2025-06-24 00:00:00,8.6,22.0,8.6,16.4,5753
2025-06-25 00:00:00,17.0,48.2,16.2,44.6,12006
2025-06-26 00:00:00,38.8,45.6,29.0,29.8,9115
2025-06-27 00:00:00,32.0,42.0,18.2,18.8,11862
2025-06-30 00:00:00,19.0,22.2,16.0,20.0,5546
2025-07-01 00:00:00,20.2,20.4,15.0,17.0,5059
2025-07-02 00:00:00,17.2,18.8,13.6,15.4,4863
2025-07-03 00:00:00,17.8,22.8,13.4,20.0,7543
2025-07-04 00:00:00,19.2,44.0,15.6,20.8,20392
2025-07-07 00:00:00,20.0,21.8,14.6,15.8,5967
2025-07-08 00:00:00,16.0,32.4,16.0,27.4,15252
2025-07-09 00:00:00,27.4,37.4,20.8,24.0,15661
2025-07-10 00:00:00,24.6,47.4,22.8,29.0,16533
2025-07-11 00:00:00,30.2,77.2,29.6,36.8,25054
